,x1__last,x2__last,x3__last,x4__last,x5__last,x6__last,x7__last,x8__last,x1__mean,x2__mean,x3__mean,x4__mean,x5__mean,x6__mean,x7__mean,x8__mean,x1__delta,x2__delta,x3__delta,x4__delta,x5__delta,x6__delta,x7__delta,x8__delta,y1__mean,y2__mean,y3__mean,y4__mean,y1__last,y2__last,y3__last,y4__last,Y
x1__last,1.0,0.026020036395788433,0.1042674993013765,0.02106605509915033,0.22227474676909598,0.20361749795068626,0.011686220047895268,0.18859277165208782,0.1799958947382908,-0.29649444493682797,0.0481623875735149,-0.0945851549409598,-0.026870385041936423,0.029304240221479948,-0.028545052170759488,0.16815558880289896,0.21962134551237214,0.12704118824249724,0.04237355815415765,0.09270755719105213,0.19722227206317555,0.23111781848043447,0.011686220047895268,0.1857905410870038,-0.03757689682037428,-0.0024544114147641762,-0.08009818335399088,-0.0037398675314975847,-0.04621529821896044,0.002965666490585395,-0.04412780295541753,-0.20693208111737846,0.07830872321246368
x2__last,0.026020036395788433,1.0,0.26321811533380574,0.18813970007494754,0.4161571341533201,0.49722764957664856,0.11523378639919563,0.06362970942680278,-0.026404188988207525,0.3103575633104738,0.09198183772326146,0.1891615611396475,-0.0993797669134871,0.023778231091823976,0.00848882130532719,0.05644987641569761,-0.11798552356503383,0.8430441278558237,0.33633330584006993,0.18367913471407185,0.45287024332511944,0.3837895233483808,0.11523378639919563,0.05167283916342361,0.1087770047799443,0.07519727467581039,-0.16274412010565703,-0.11016354378592016,0.3166670130605382,0.21180982821108027,-0.1560765452392716,-0.03150613864992498,0.11626146964206141
x3__last,0.1042674993013765,0.26321811533380574,1.0,0.27669209319231924,0.2295154074715274,0.18081636881975238,-0.22786007003283995,0.2076651284095908,0.2207142806927595,-0.11747676578801751,0.6491125132245608,-0.0019856994391020295,-0.10286942985355499,-0.1518966287061255,-0.30545609613823593,0.1795520280006348,-0.14400139696667894,0.2667802624369807,0.8409789423162267,0.2729517255247483,0.2207191581567764,0.17041214169978872,-0.22786007003283995,0.20745924453477646,0.09756975435456447,0.30245679491826033,-0.46939210920392194,-0.3532892587549772,0.34669624860242687,0.27684261908228774,-0.40149296925485534,-0.5604198836822546,-0.09732720629266697
x4__last,0.02106605509915033,0.18813970007494754,0.27669209319231924,1.0,0.07040999834083872,0.20982838185772465,-0.274531361006817,0.09676431140651004,0.07761798334831939,-0.12246811596673463,0.14388826960202383,0.4212344799984562,-0.20714509350712526,0.07045428209992047,-0.31875121274732215,0.048422022502108114,-0.30666745990339134,0.1873006381807717,0.14234839821863418,0.9177589723147566,0.11257818669586879,0.025510720802907828,-0.274531361006817,0.10458888528057185,0.01564437125340787,0.20070789653608365,-0.4888917933672546,-0.36227533813177243,0.3105420695816529,0.26900925964288197,-0.469987438361322,-0.4833547425569645,-0.020210837364716922
x5__last,0.22227474676909598,0.4161571341533201,0.2295154074715274,0.07040999834083872,1.0,0.415764432339078,-0.019256179837801764,0.14302005282210523,-0.024525977249177832,-0.13537586373914468,0.09037975759176106,-0.12862959399647847,0.09824495019969111,0.22152427089353577,0.012089581460188197,-0.0005693481233225581,0.11302035704451224,0.4981032292007539,0.35091844430496544,0.1323046043360954,0.9348932930801909,0.40883040800438725,-0.019256179837801764,0.14267434943873653,0.10068614317908803,0.08451081025228416,-0.011529401276456967,0.07930690236075194,-0.006750191908532169,-0.07531516601462362,-0.025861184256685026,-0.045522055594767616,-0.0132579877786696
x6__last,0.20361749795068626,0.49722764957664856,0.18081636881975238,0.20982838185772465,0.415764432339078,1.0,0.008224127719632086,0.07509143407092489,0.19878904534154648,-0.23177771196341493,0.26775328738818294,0.037702643434268025,-0.3890880847445548,0.6477976195927704,-0.10519415408404183,0.18141542122623863,0.023394306653244025,0.6752080428350447,0.25285224234676723,0.24470155698853652,0.48446981368864545,0.7483108363258096,0.008224127719632086,0.036015308528098075,0.25629545711308843,0.21243893614397652,-0.3614134914709107,-0.17142187243604984,0.4557745601644457,0.2949895996829706,-0.3070224959644374,-0.25234396564526823,0.18947873059430334
x7__last,0.011686220047895268,0.11523378639919563,-0.22786007003283995,-0.274531361006817,-0.019256179837801764,0.008224127719632086,1.0,-0.009076940483322393,0.34870512897035566,0.25319229549336664,-0.15256895611069782,-0.2265475509833598,-0.1495002078468291,0.08529066783916665,0.9268484058700434,0.6052839550056457,-0.019478129713363646,0.13730579126877657,-0.017388881839934076,-0.2298771306629375,0.024900294838547502,0.12738607756804649,1.0,-0.05648334964066299,0.23535445158465637,0.039519865147216476,0.43830881440670383,0.3471501558178862,0.03456988621531374,-0.022185601889260515,0.5302394216203201,0.6272892158753671,0.207586683481123
x8__last,0.18859277165208782,0.06362970942680278,0.2076651284095908,0.09676431140651004,0.14302005282210523,0.07509143407092489,-0.009076940483322393,1.0,0.16137577809429315,-0.23117355844923076,0.12464828830108167,-0.04719120955170917,0.03490217821376843,-0.10623988459293439,-0.09636032401421088,0.3025529917684553,-0.049081927355824846,0.09171768478771178,0.07254150737410493,0.12486597896284068,0.1367571850663659,0.04516360645000577,-0.009076940483322322,0.9706509713300498,-0.12947611563111652,0.07218403505375598,-0.1562911199597606,-0.17088427701079809,-0.0922009496747994,0.030403708997006524,-0.10699293097128325,-0.2835905425068057,-0.08864570853624618
x1__mean,0.1799958947382908,-0.026404188988207525,0.2207142806927595,0.07761798334831939,-0.024525977249177832,0.19878904534154648,0.34870512897035566,0.16137577809429315,1.0,-0.2495281759439137,0.27099534333436176,-0.3118902397140142,-0.4745982163358414,0.13938069854171328,0.23795538028270644,0.7089177187191293,-0.11250693691885577,0.10143525451532491,0.17352124152281603,0.09038251856457788,0.029063235729387193,0.31250603555944795,0.34870512897035566,0.1283098788460564,0.08943399455575365,0.2672677050925373,-0.15396731653084572,-0.12794278632633718,0.118409565198863,0.06625253579857947,-0.012523950357603654,-0.24461112418772438,0.0274502706771831
x2__mean,-0.29649444493682797,0.3103575633104738,-0.11747676578801751,-0.12246811596673463,-0.13537586373914468,-0.23177771196341493,0.25319229549336664,-0.23117355844923076,-0.2495281759439137,1.0,-0.15863664180399104,0.287742500761078,0.14790874198309428,-0.2809745317457451,0.2519073077916313,-0.1111351267413669,-0.0876077142489945,-0.05739174278347553,0.01387972784375827,-0.18471198250604615,-0.14390340755715736,-0.3457795879457457,0.2531922954933666,-0.23377105220132646,-0.12442899292020629,-0.27367439544740557,0.23149365976329878,0.12314481126478363,-0.055352457066851296,-0.0836254277356217,0.18928290661027336,0.4825183529130525,0.06590395073826932
