,x1__last,x2__last,x3__last,x4__last,x5__last,x6__last,x7__last,x8__last,x1__mean,x2__mean,x3__mean,x4__mean,x5__mean,x6__mean,x7__mean,x8__mean,x1__delta,x2__delta,x3__delta,x4__delta,x5__delta,x6__delta,x7__delta,x8__delta,y1__mean,y2__mean,y3__mean,y4__mean,y1__last,y2__last,y3__last,y4__last,Y
x1__last,1.0,0.31078517476426626,0.1605235583096828,0.29516981492802835,0.43810075726088576,0.20184033517333677,-0.10907342945694024,0.06625983829843883,0.2366381984555252,-0.2670923719857591,-0.044241276239706195,0.2166104242219715,0.1854891152259602,-0.13914474385959566,-0.029917838719429112,0.04268843064263787,0.32857754531733085,0.42632127084342286,0.15469347513072165,0.2858377235264406,0.41013988946674923,0.49938662422860597,-0.10907342945694024,0.07079600298426121,-0.07759728022044128,-0.27724155203872186,-0.16959905740119577,-0.06360636348179108,0.08458275411954289,0.11879347434564709,-0.1871807917166383,-0.29128610419498335,-0.13476957056262698
x2__last,0.31078517476426626,1.0,0.2539399295255664,0.32575589172127806,0.22729979901298314,0.5226070871875079,-0.08114866198346615,0.11923261249981199,0.0062963536183054105,0.25410053399351923,0.11388586848490967,0.5292299023267673,-0.12135068356667618,0.1841929724328771,-0.11173431468866418,-0.12295417344572795,-0.3413622321162668,0.8975544641513106,0.33348367934085255,0.3109647321185768,0.3984792207089382,0.5330666553087574,-0.08114866198346615,0.11657030317846685,0.1721541459831139,-0.18470629862702737,-0.1386155109929204,-0.28323803414307996,0.4186529279512907,0.43597942775897197,-0.3206831644293656,-0.25384275429315806,0.040871581136216355
x3__last,0.1605235583096828,0.2539399295255664,1.0,0.519392035363796,0.5988717565304222,0.13676629529496287,-0.395639053051884,0.5139101263099347,0.31786718541552295,-0.2799999994257375,0.7317549168669223,-0.042554851863342576,0.1727788031978088,-0.16931332998191262,-0.4621757683796547,0.37282766041634663,-0.3632944116912582,0.43429827048482,0.9360798366527944,0.559545846451745,0.5216529580531719,0.2158304323192334,-0.395639053051884,0.5173598990876777,-0.05345722658123315,0.0018519789754152809,-0.3808629154458738,-0.28482379779447037,0.2319039816533287,0.06410509384863,-0.4474448264965025,-0.5279622146542646,-0.22192822364485898
x4__last,0.29516981492802835,0.32575589172127806,0.519392035363796,1.0,0.26200611970487964,0.38591988232788826,-0.1028663154544059,0.19100200393254074,0.32970339789830005,-0.1942662069009305,0.5975867632551789,0.6103531516099217,0.18578130902234888,0.24546412374237433,-0.18030650463530062,0.4620185199933487,-0.4259238906039253,0.41933453124711084,0.36635874503275595,0.9366159035335246,0.2747961518961996,0.1915946269689495,-0.1028663154544059,0.19222780128932826,0.22986966451727936,-0.009219661789323853,-0.538801270452047,-0.30053345691765204,0.4827897849265792,0.28310200601825036,-0.5584058008399762,-0.36598292383812076,0.20721585333846362
x5__last,0.43810075726088576,0.22729979901298314,0.5988717565304222,0.26200611970487964,1.0,0.10952551767003775,-0.6686885669409501,0.18792853658524375,-0.028647379147475994,-0.2865143823376338,0.32246961848822353,-0.1488195194094546,0.5838933937987711,-0.23810368036202853,-0.5496503612255763,-0.04707351364339502,0.12602575487391138,0.3965161712791794,0.5512619152997387,0.29586923933537196,0.9198538676999423,0.2601880198469919,-0.6686885669409501,0.190799708503481,-0.114544307426503,-0.14949560486375008,0.022768816429294285,0.17898958324112008,-0.11243654080121332,-0.4062497113740593,-0.14596318299905514,-0.3808735705037268,-0.039833069674087666
x6__last,0.20184033517333677,0.5226070871875079,0.13676629529496287,0.38591988232788826,0.10952551767003775,1.0,-0.24704156843006864,-0.06732155234244365,-0.07089649617531335,0.11874047315147722,0.26720742976118167,0.6439392568504592,-0.22891116923401425,0.7988771208653667,-0.26629593364951665,-0.17981752880485705,-0.1485821120671978,0.4628088917615662,0.10253226798548755,0.3904540510967748,0.3298209926008859,0.4949768665708699,-0.24704156843006864,-0.0599048518623952,0.21328452135147535,0.1404939279026965,-0.23958181564773023,0.14485179748281143,0.557283734721278,0.45842310548211507,-0.44739477445942705,-0.0017489600680687279,0.30449563257403445
x7__last,-0.10907342945694024,-0.08114866198346615,-0.395639053051884,-0.1028663154544059,-0.6686885669409501,-0.24704156843006864,1.0,0.17317320314810655,0.48745076042159075,0.4047750882898643,-0.30260762970294985,0.2004000568542637,-0.39449593855236065,0.0821012112765908,0.9425158508997111,0.4400120979409131,-0.01654444985101977,-0.22251254687975566,-0.22460625511036095,-0.21915092109496231,-0.7104532581470404,-0.35068531671208836,1.0,0.17123347809320458,0.19603569707741958,-0.14229432452305735,0.003962998516711838,-0.3497473536370768,-0.00576267970508588,0.22431797459365746,0.35612191005820587,0.6887465425003726,0.03966026444726986
x8__last,0.06625983829843883,0.11923261249981199,0.5139101263099347,0.19100200393254074,0.18792853658524375,-0.06732155234244365,0.17317320314810655,1.0,0.45154401987758563,-0.09553211337561617,0.4716736781944805,-0.04597335376331496,0.14696143621857174,-0.1736478431650009,0.10987208550457928,0.5640009450356722,-0.10941771386052476,0.259804031262457,0.6172382798706163,0.15805235545497012,0.088370536266691,-0.058181437405944184,0.17317320314810655,0.9996337804863983,0.14841093799593663,-0.10462610818538136,-0.2695757886165649,-0.3541905246923818,-0.07455874185341797,0.025039735243065894,0.06694189708886081,-0.11181822281787394,-0.18800438432847558
x1__mean,0.2366381984555252,0.0062963536183054105,0.31786718541552295,0.32970339789830005,-0.028647379147475994,-0.07089649617531335,0.48745076042159075,0.45154401987758563,1.0,-0.20663812410529153,0.36870860604838573,0.04193533053991253,-0.09065737126269155,-0.042217616729985044,0.44614872197593625,0.7623846564165796,-0.08038695264451448,0.21969702452832468,0.33808157562764984,0.12577427884983985,-0.24760900407726688,-0.021952590055957483,0.48745076042159075,0.45426413666640564,0.13788044022530693,-0.11821260740057675,-0.25869461061323884,-0.397057427202705,0.0072281276422286,0.005398762023034446,0.013701281037678328,-0.6745614269250244,-0.27947918310041364
x2__mean,-0.2670923719857591,0.25410053399351923,-0.2799999994257375,-0.1942662069009305,-0.2865143823376338,0.11874047315147722,0.4047750882898643,-0.09553211337561617,-0.20663812410529153,1.0,-0.37086826625395025,0.15981770695575195,-0.2796021061688065,0.22498228349113633,0.3580371442196753,-0.06768376307494642,-0.14302855602139497,-0.10606338120394022,-0.097288983456923,-0.1495570583287942,-0.11415511681101617,-0.10232975291260596,0.4047750882898643,-0.0957138957938478,0.21607239457735344,0.18006917259200153,0.0402905636701701,-0.08164205730336832,0.1542911446113616,0.2138482178922813,0.2199835145089071,0.594353691101652,0.5369206938374966
