,x_last,x_mean,x_delta,y_mean,y_last
x6__last,0.2679028175191986,,,,
x7__last,0.20073199414404685,,,,
x1__last,0.11721986224110208,,,,
x3__last,-0.10705924282747419,,,,
x8__last,-0.10497916855193999,,,,
x4__last,0.0962670049281317,,,,
x2__last,0.06714154914190494,,,,
x5__last,0.018334675324220995,,,,
x6__mean,,0.28051935584515325,,,
x7__mean,,0.15516355869153048,,,
x8__mean,,0.13188134494924042,,,
x5__mean,,-0.1301077591379269,,,
x3__mean,,0.09562003503971968,,,
x1__mean,,0.06571627426980584,,,
x4__mean,,0.038918088655290756,,,
x2__mean,,0.004454364365085079,,,
x2__delta,,,0.23097553805308146,,
x6__delta,,,0.20370744824174522,,
x7__delta,,,0.20073199414404685,,
x1__delta,,,0.15558364868102775,,
x8__delta,,,-0.12539113456956447,,
x5__delta,,,0.06006431948544411,,
x4__delta,,,0.04744258829796687,,
x3__delta,,,-0.029197378179229367,,
y1__mean,,,,0.31056157631012427,
y2__mean,,,,0.2119242649634387,
y4__mean,,,,0.15506275949792403,
y3__mean,,,,0.11245116786137806,
y4__last,,,,,0.5610423430430563
y1__last,,,,,0.2628634953648219
y3__last,,,,,0.2256189024918546
y2__last,,,,,0.0857206887535537
