feature,coef
y4_t6,2.1630440277238865
y4_t7,2.1630440277238865
y1_t7,1.8708986820203097
y1_t6,1.8708986820203097
y1_t1,1.7651990897259913
y1_t0,1.7651990897259913
y1_t4,1.6625873556788162
y1_t5,1.6625873556788162
y1_t6^2,-1.609180738097781
y1_t6 y1_t7,-1.609180738097781
y1_t7^2,-1.609180738097781
y3_t5,1.5711254877244902
y3_t4,1.5711254877244902
y3_t6,1.533909753393277
y3_t7,1.533909753393277
y4_t2,1.4312318130835977
y4_t3,1.4312318130835977
y1_t6 y2_t7,-1.381339878583403
y1_t7 y2_t7,-1.381339878583403
y2_t6 y1_t7,-1.381339878583403
y1_t6 y2_t6,-1.381339878583403
y4_t4,1.3765728644947772
y4_t5,1.3765728644947772
y1_t3,1.3669464207030722
y1_t2,1.3669464207030722
y3_t2,1.229934138847387
y3_t3,1.229934138847387
y3_t1,1.2057628510877973
y3_t0,1.2057628510877973
y4_t1 y1_t2,1.1770175849152396
y4_t0 y1_t3,1.1770175849152396
y4_t1 y1_t3,1.1770175849152396
y4_t0 y1_t2,1.1770175849152396
y2_t3,1.1640257513844923
y2_t2,1.1640257513844923
y1_t2^2,-1.1262607847299337
y1_t3^2,-1.1262607847299337
y1_t2 y1_t3,-1.1262607847299337
y1_t0 y4_t1,1.0832505095463456
y1_t0 y4_t0,1.0832505095463456
y4_t0 y1_t1,1.0832505095463456
y1_t1 y4_t1,1.0832505095463456
y1_t1 y2_t6,0.9989998379330439
y1_t0 y2_t7,0.9989998379330439
y1_t0 y2_t6,0.9989998379330439
y1_t1 y2_t7,0.9989998379330439
y2_t1,0.9598187582148539
y2_t0,0.9598187582148539
y3_t6 y3_t7,0.8977696251442655
y3_t7^2,0.8977696251442655
y3_t6^2,0.8977696251442655
y4_t0 y3_t7,0.8055369415667808
y4_t1 y3_t6,0.8055369415667808
y4_t1 y3_t7,0.8055369415667808
y4_t0 y3_t6,0.8055369415667808
y1_t0 y1_t3,-0.7570327862775625
y1_t1 y1_t3,-0.7570327862775623
y1_t1 y1_t2,-0.7570327862775623
y1_t0 y1_t2,-0.7570327862775623
y4_t1 y2_t7,-0.756567084923581
y4_t0 y2_t7,-0.756567084923581
y4_t0 y2_t6,-0.756567084923581
y4_t1 y2_t6,-0.756567084923581
y2_t6^2,-0.7386640509878828
y2_t7^2,-0.7386640509878828
y2_t6 y2_t7,-0.7386640509878828
y1_t3 y2_t7,0.7293369045156965
y1_t3 y2_t6,0.7293369045156965
y1_t2 y2_t6,0.7293369045156965
y1_t2 y2_t7,0.7293369045156965
y2_t0 y1_t7,-0.7201609568259001
y2_t1 y1_t6,-0.7201609568258998
y2_t1 y1_t7,-0.7201609568258998
y2_t0 y1_t6,-0.7201609568258998
y3_t4 y1_t6,0.7159366988515732
y3_t4 y1_t7,0.7159366988515732
y3_t5 y1_t6,0.7159366988515732
y3_t5 y1_t7,0.7159366988515732
y1_t4 y3_t6,0.6490538738722142
y1_t4 y3_t7,0.6490538738722142
y1_t5 y3_t6,0.6490538738722142
y1_t5 y3_t7,0.6490538738722142
y2_t3^2,0.6365160657527023
y2_t2 y2_t3,0.6365160657527023
y2_t2^2,0.6365160657527023
y2_t0 y3_t6,0.6124329196483008
y2_t1 y3_t7,0.6124329196483008
y2_t0 y3_t7,0.6124329196483008
y2_t1 y3_t6,0.6124329196483008
y2_t4 y1_t7,-0.6007886625578395
y2_t5 y1_t7,-0.6007886625578395
y2_t5 y1_t6,-0.6007886625578395
y2_t4 y1_t6,-0.6007886625578395
y2_t5,0.5835149521522109
y2_t4,0.5835149521522109
y4_t5 y3_t6,0.5801082113940818
y4_t5 y3_t7,0.5801082113940818
y4_t4 y3_t7,0.5801082113940818
y4_t4 y3_t6,0.5801082113940818
y1_t4 y3_t4,0.5767584788391762
y1_t5 y3_t5,0.5767584788391762
y3_t4 y1_t5,0.5767584788391762
y1_t4 y3_t5,0.5767584788391762
y1_t6 y3_t6,0.5703139388142059
y3_t6 y1_t7,0.5703139388142059
y1_t6 y3_t7,0.5703139388142059
y1_t7 y3_t7,0.5703139388142059
y2_t3 y1_t7,-0.5464112265894592
y2_t3 y1_t6,-0.5464112265894592
y2_t2 y1_t7,-0.5464112265894592
y2_t2 y1_t6,-0.5464112265894592
y2_t0 y1_t3,-0.5404786143022148
y2_t0 y1_t2,-0.5404786143022148
y2_t1 y1_t3,-0.5404786143022148
y2_t1 y1_t2,-0.5404786143022147
y1_t5 y2_t7,-0.5253231237318163
y1_t4 y2_t6,-0.5253231237318163
y1_t5 y2_t6,-0.5253231237318163
y1_t4 y2_t7,-0.5253231237318163
y2_t0 y3_t4,0.49250509833301925
y2_t1 y3_t4,0.49250509833301925
y2_t1 y3_t5,0.49250509833301925
y2_t0 y3_t5,0.49250509833301925
y2_t1^2,0.4745706873402559
y2_t0 y2_t1,0.4745706873402559
y2_t0^2,0.4745706873402559
y4_t7^2,0.47358169425131097
y4_t6^2,0.4735816942513105
y4_t6 y4_t7,0.4735816942513105
y2_t1 y2_t6,-0.4586318678773103
y2_t0 y2_t6,-0.4586318678773103
y2_t1 y2_t7,-0.4586318678773103
y2_t0 y2_t7,-0.45863186787731
y4_t5 y4_t7,0.44197916786255126
y4_t4 y4_t7,0.44197916786255126
y4_t4 y4_t6,0.44197916786255126
y4_t5 y4_t6,0.44197916786255126
